stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
Jar_Krak_01,,Krakowska,,50.024296,22.639439,miejska,,0,,,1,,
Jar_Krak_02,,Krakowska,,50.024109,22.640699,miejska,,0,,,1,,
Jar_Krak_03,,Krakowska - Gazownia,,50.021938,22.647993,miejska,,0,,,1,,
Jar_Krak_04,,Krakowska - Gazownia,,50.02198,22.648268,miejska,,0,,,2,,
Jar_Krak_05,,Krakowska - Cmentarz,,50.018673,22.659651,miejska,,0,,,1,,
Jar_Krak_06,,Krakowska - Cmentarz,,50.019333,22.657747,miejska,,0,,,1,,
Jar_JPII_01,,Jana Pawła II - Dominikanie,,50.01619,22.667505,miejska,,0,,,2,,
Jar_JPII_02,,Jana Pawła II - Dominikanie,,50.016197,22.667814,miejska,,0,,,2,,
Jar_JPII_03,,Jana Pawła II - Starostwo,,50.015526,22.674892,miejska,,0,,,1,,
Jar_JPII_04,,Jana Pawła II - Starostwo,,50.015484,22.673697,miejska,,0,,,1,,
Jar_Grun_02,,Grunwaldzka,,50.016788,22.680454,miejska,,0,,,1,,
Jar_Slow_01,,Słowackiego,,50.014423,22.677986,miejska,,0,,,1,,
Jar_Slow_02,,Słowackiego,,50.014278,22.678226,miejska,,0,,,1,,
Jar_pWOs_CP,,Centrum Przesiadkowe,,50.011032,22.677942,miejska,,0,,,1,,
Jar_KrJa_01,,Królowej Jadwigi,,50.013531,22.683676,miejska,,0,,,1,,
Jar_Poni_01,,Poniatowskiego,,50.012825,22.683403,miejska,,0,,,1,,
Jar_Poni_02,,Poniatowskiego,,50.012932,22.684029,miejska,,0,,,1,,
Jar_Siko_01,,Sikorskiego,,50.015785,22.682484,miejska,,0,,,2,,
Jar_Szcc_01,,Szczytniańska / Krakowska,,50.017582,22.662636,miejska,,0,,,2,,
Jar_Szcc_02,,Szczytniańska / Krakowska,,50.017681,22.662611,miejska,,0,,,2,,
Jar_Szcc_03,,Szczytniańska - Wiadukt,,50.01572,22.653791,miejska,,0,,,2,,
Jar_Szcc_04,,Szczytniańska - Wiadukt,,50.015686,22.652966,miejska,,0,,,2,,
Jar_Szcc_05,,Szczytniańska - Rondo,,50.014645,22.645216,miejska,,0,,,2,,
Jar_Szcc_07,,Szczytniańska - Cmentarz,,50.016613,22.645111,miejska,,0,,,2,,
Mal_Male_01,,Maleniska I,,50.014236,22.644516,miejska,,0,,,2,,
Mal_Male_02,,Maleniska II,,50.01202,22.649017,miejska,,0,,,2,,
Jar_Strz_01,,Strzelecka I,,50.005817,22.661104,miejska,,0,,,2,,
Jar_Strz_02,,Strzelecka II,,50.003994,22.664593,miejska,,0,,,2,,
Jar_Strz_03,,Strzelecka III,,50.00174,22.668941,miejska,,0,,,2,,
Jar_Pruc_01,,Pruchnicka III,,50.00172,22.672852,miejska,,0,,,1,,
Jar_Pruc_02,,Pruchnicka III,,50.001286,22.67223,miejska,,0,,,1,,
Jar_Pruc_03,,Pruchnicka II,,50.007652,22.676266,miejska,,0,,,2,,
Jar_Pruc_04,,Pruchnicka II,,50.005566,22.675144,miejska,,0,,,2,,
Jar_Pruc_05,,Pruchnicka I,,50.010387,22.67428,miejska,,0,,,1,,
Jar_Pruc_06,,Pruchnicka I,,50.010372,22.674009,miejska,,0,,,2,,
Jar_Lotn_01,,Lotników I,,50.021523,22.639191,miejska,,0,,,2,,
Jar_Lotn_02,,Lotników II,,50.018379,22.64081,miejska,,0,,,2,,
Jar_TrMa_01,,3 Maja,,50.013756,22.693529,miejska,,0,,,1,,
Jar_TrMa_02,,3 Maja,,50.014374,22.691673,miejska,,0,,,1,,
Jar_TrMa_03,,3 Maja - Kombatantów,,50.010853,22.698479,miejska,,0,,,2,,
Jar_TrMa_04,,3 Maja - Kombatantów,,50.010117,22.699394,miejska,,0,,,2,,
Jar_TrMa_05,,3 Maja - Jarlan,,50.006611,22.706766,miejska,,0,,,1,,
Jar_TrMa_06,,3 Maja - Jarlan,,50.005836,22.707909,miejska,,0,,,2,,
Jar_TrMa_07,,3 Maja - Huta Szkła,,50.004177,22.711819,miejska,,0,,,2,,
Jar_TrMa_08,,3 Maja - Huta Szkła,,50.002571,22.714643,miejska,,0,,,1,,
Jar_Zboz_01,,Zbożowa - P.Z.Z.,,49.999573,22.718821,miejska,,0,,,1,,
Jar_Tarn_01,,Zamkowa,,50.018784,22.691477,miejska,,0,,,2,,
Jar_Tarn_02,,Tarnowskiego,,50.018513,22.691172,miejska,,0,,,2,,
Jar_Fils_01,,Flisacka,,50.021538,22.697184,miejska,,0,,,2,,
Jar_Fils_02,,Flisacka,,50.021358,22.697159,miejska,,0,,,2,,
Jar_Dlug_01,,Długosza,,50.024635,22.696062,miejska,,0,,,2,,
Jar_Dlug_02,,Długosza,,50.024761,22.696041,miejska,,0,,,2,,
Jar_WaWr_01,,Zwierzyniecka,,50.030754,22.696095,miejska,,0,,,2,,
Jar_Ryba_01,,Rybacka II,,50.023502,22.690121,miejska,,0,,,2,,
Jar_Ryba_02,,Rybacka II,,50.023567,22.6901,miejska,,0,,,2,,
Jar_Ryba_03,,Rybacka I,,50.023224,22.68602,miejska,,0,,,2,,
Jar_Ryba_04,,Rybacka I,,50.023178,22.68572,miejska,,0,,,2,,
Jar_Okrz_01,,Okrzei,,50.023426,22.683722,miejska,,0,,,2,,
Jar_Okrz_02,,Okrzei,,50.023365,22.683796,miejska,,0,,,2,,
Jar_Misz_01,,Misztale - Działki,,50.028732,22.683826,miejska,,0,,,2,,
Jar_Misz_02,,Misztale - Działki,,50.028641,22.683968,miejska,,0,,,2,,
Jar_Misz_03,,Misztale - Wiadukt,,50.033195,22.685221,miejska,,0,,,2,,
Jar_Misz_04,,Misztale - Wiadukt,,50.033157,22.685383,miejska,,0,,,2,,
Jar_Misz_05,,Misztale I,,50.037075,22.686865,miejska,,0,,,2,,
Jar_Misz_06,,Misztale I,,50.036865,22.686897,miejska,,0,,,2,,
Jar_Misz_07,,Misztale II,,50.037819,22.68964,miejska,,0,,,2,,
Jar_Misz_08,,Misztale II,,50.037697,22.689524,miejska,,0,,,2,,
